country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Lithuania,,,,,,,,,0.0642,0.0468,0.0667,0.0731,0.0523,0.0443,0.039,0.0286,0.0183,0.0105,0.0107,0.042,0.0745,0.0672,0.0542,0.0431,0.0411,0.0334,0.028,0.0247
Luxembourg,,,0.00374,0.00537,0.00952,0.00531,0.00643,0.00634,0.00567,0.00564,0.00379,0.00434,0.004,0.00766,0.00855,0.00964,0.00953,0.00988,0.00989,0.0104,0.00866,0.0115,0.0125,0.0137,0.0147,0.0161,0.0181,0.0154
Malawi,,,,,,,,,,,,,,,,,,,,,,,,0.0101,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,0.00258,0.00207,0.00188,0.0021,0.00172,0.00172,0.00191,0.0024,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00918,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,0.0155,0.0156,
Malta,,,,,,,,,,,0.0251,0.0203,0.0218,0.0205,0.0283,0.0237,0.0211,0.02,0.0196,0.023,0.0248,0.0235,0.0232,0.0243,0.0228,0.02,0.0147,0.0168
Mauritius,,,,,,,,,,,,0.0257,0.0198,0.0122,0.0165,0.0159,0.0126,0.0124,0.00819,0.00857,0.00993,0.0117,0.00923,0.011,0.0112,0.00984,0.00867,0.00945
Mexico,,,,,,0.0018,0.00179,0.00091,0.000445,0.000459,0.000352,0.000347,0.000533,0.000534,0.000739,0.0011,0.000858,0.000812,0.000872,0.0017,0.00185,0.00162,0.00144,0.00137,0.00149,0.00113,0.00113,0.000888
Moldova,,,,,,,,,,,,,,,,,,,,0.0114,0.0109,0.00965,0.00694,0.00573,0.00431,0.00464,0.0059,0.00509
Mongolia,,,,,,,,,,,,,,,,,,,0.0187,0.0179,0.0259,0.0171,0.0131,0.0139,0.0175,0.0175,0.0303,0.0262
Montenegro,,,,,,,,,,,,,,,,,,,,,,0.0732,0.0773,0.0802,0.0716,0.0711,0.0748,0.0636
Morocco,,,,,,,,,,,,,,,,,,,,,,0.0303,0.0309,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,0.000924,,0.00226
Namibia,,,,,,,,,,,,,,,,,,,,,,,0.0402,0.054,0.0514,,,
Nepal,,,,,,,,,,,,,,,,,,,0.00445,,,,,,,,,
Netherlands,,,0.0163,0.0191,0.0233,0.0252,0.0217,0.017,0.0137,0.00996,,,0.00517,0.0098,0.0145,0.0156,0.0123,0.00912,0.0075,0.00819,0.0122,0.013,0.0158,0.0224,0.0241,0.0226,0.0182,0.0136
New Zealand,0.0148,0.0299,0.0337,0.0311,0.025,0.0158,0.0132,0.0144,0.0167,0.0158,0.0124,0.0095,0.00824,0.0066,0.00465,0.00439,0.00405,0.00304,0.00334,0.00749,0.00932,0.0103,0.0107,0.0091,0.00855,0.00846,0.0089,0.00899
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,0.00406,,,,,
North Macedonia,,,,,,,,,,,,,,,,,0.168,0.168,0.165,0.156,0.159,0.157,0.155,0.143,0.139,0.133,0.12,0.107
Norway,0.0105,0.0109,0.0129,0.015,0.0126,0.0152,0.00926,0.00655,0.00484,0.00353,0.00453,0.00531,0.00628,0.00659,0.00908,0.00822,0.00763,0.00424,0.00375,0.00649,0.00917,0.00708,0.00717,0.00672,0.00741,0.00967,0.0126,0.0107
Pakistan,,,,,,,,,,,,,,,,,0.000951,0.00065,0.000735,0.000864,0.000792,0.00119,,0.0062,0.00626,0.0108,0.0102,
Palestine,,,,,,0.0296,,,,,0.0158,0.0581,0.0891,0.065,0.0634,0.0533,0.0502,0.0427,0.0631,0.0554,0.0527,0.0337,0.0351,0.0355,0.0504,0.0387,0.0328,0.0397
Panama,,,,,,,,,,,,,,,,,,,,0.00589,0.00294,0.00195,0.00171,,0.000795,0.00267,0.00223,0.00239
Paraguay,,,,,,,,,,,,,0.0134,0.013,0.00876,0.00568,0.00778,0.00813,0.00757,0.013,0.0067,0.00715,0.00523,0.00621,0.00737,0.00813,0.00666,0.00523
Peru,,,,,,,,,,,,,0.00165,,0.000423,0.000509,,,,,,,,,,,,
Philippines,,,,,,,,,,,,0.00118,,0.000824,0.000894,0.000722,0.000723,0.000489,0.00049,0.000483,0.000316,0.000299,0.000302,0.000272,0.000204,,0.000158,0.000149
Poland,,,0.0375,0.0378,0.0397,0.0355,0.0322,0.0308,0.0274,0.0333,0.0494,0.0601,0.0697,0.07,0.0684,0.0633,0.0476,0.0312,0.0166,0.0193,0.0256,0.0267,0.0289,0.031,0.0275,0.022,0.0168,0.0126
Portugal,,,0.00574,0.0114,0.0166,0.0208,0.0205,0.0195,0.0134,0.0153,0.0103,0.00904,0.0116,0.0166,0.0206,0.0249,0.0257,0.0244,0.0234,0.0303,0.0381,0.0448,0.0587,0.0644,0.0542,0.0463,0.0413,0.03
Qatar,,,,,,,,,,,,,,,,,,,,0.0013,,0.000934,0.000693,0.000414,0.000325,0.000254,0.000268,0.000258
Romania,,,,,,,,0.0201,0.0209,0.026,0.0304,0.0261,0.0359,0.03,0.0328,0.0288,0.0309,0.0249,0.0202,0.0219,0.0237,0.0239,0.0234,0.0253,0.0241,0.0259,0.0234,0.0188
Russia,,,0.00597,0.00969,0.0171,0.0234,0.0279,0.0367,0.0415,0.0465,0.0367,0.0276,0.0248,0.0255,0.0245,0.0227,0.0247,0.0206,0.0185,0.0223,0.0228,0.0223,0.0172,0.0174,0.016,0.0169,0.0175,0.0165
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0138
Samoa,,,,,,,,,,,,,,,,,,,,,,,0.00642,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,0.00874,,0.014,0.00967,0.00774,,,0.00821,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,0.00437,,
Serbia,,,,,,,,,,,,,,,,,,,0.0406,0.0451,0.0575,0.0734,0.0782,0.0708,0.0613,0.0541,0.0477,0.0404
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,0.00788,,,
Slovak Republic,,,,,0.043,0.0443,0.0372,0.0369,0.041,0.0544,0.0763,0.0827,0.0836,0.0772,0.0802,0.0726,0.0604,0.0478,0.0386,0.0456,0.0666,0.0651,0.0643,0.0683,0.0626,0.0458,0.0386,0.036
Slovenia,,,,,,,0.0265,0.0243,0.0275,0.0267,0.028,0.0221,0.0238,0.0241,0.0214,0.0224,0.0186,0.0138,0.0128,0.0172,0.0277,0.0284,0.0295,0.0356,0.0337,0.0293,0.0274,0.0208
South Africa,,,,,,,,,,,0.0376,0.03,0.0288,0.0267,0.0237,0.0207,0.0182,0.0192,0.0587,0.0654,0.0719,0.0722,0.0729,0.0727,0.0734,0.0741,0.0809,0.0864
South Korea,0.00236,0.00236,0.00253,0.00336,0.00349,0.0024,0.00233,0.00288,0.00721,0.00838,0.00455,0.00373,0.00329,0.00263,0.00295,0.00293,0.0027,0.00297,0.00219,0.00251,0.00201,0.00177,0.00198,0.00172,0.00184,0.00238,0.0032,0.00368
Spain,,,0.0392,0.0598,0.0691,0.0614,0.0601,0.055,0.046,0.0338,0.0287,0.0196,0.021,0.0237,0.0225,0.0142,0.0116,0.0115,0.0171,0.0454,0.0634,0.0701,0.0853,0.0926,0.0856,0.0723,0.0591,0.0478
Sri Lanka,,,,,,,,,,,,,,,,,,,,0.013,0.0122,0.0102,0.00995,0.0106,0.0102,,,
Sweden,0.00226,0.00483,0.0118,0.0235,0.0293,0.0233,0.0319,0.031,0.0308,0.0212,0.015,0.0102,0.0116,0.0125,0.0161,0.00345,0.00919,0.0107,0.00992,0.0167,0.0196,0.0173,0.0179,0.0176,0.0173,0.0163,0.0155,0.0151
Switzerland,,,,,,,0.0102,0.0127,0.0103,0.00891,0.00634,0.00314,0.00611,0.0099,0.0117,0.0137,0.0109,0.00961,0.00712,0.00975,0.0146,0.014,0.0127,0.0137,0.0161,0.015,0.0158,0.0141
Tajikistan,,,,,,,,,,,,,,,,,,,,0.00743,,,,,,,,
Tanzania,,,,,,,,,,,,0.00873,,,,,0.00732,,,,,,,,0.00565,,,
Thailand,,,,,,,,,,,,,,,,,,,,0.00138,0.000842,0.00117,0.000887,0.000661,0.000669,0.000663,0.000739,
