country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Sri Lanka,,,,,,,,,,,,,,,,,,,,0.0169,0.0158,0.0148,0.0119,0.0135,0.0129,,,
Sweden,0.00203,0.00332,0.00662,0.012,0.0161,0.0155,0.0193,0.0241,0.019,0.0138,0.0104,0.00685,0.00725,0.00739,0.0106,0.00277,0.0072,0.00865,0.00816,0.012,0.0151,0.0132,0.0124,0.0128,0.0127,0.0122,0.0107,0.0105
Switzerland,,,,,,,0.0104,0.00935,0.00867,0.0102,0.0062,0.00832,0.00571,0.011,0.0133,0.0142,0.0139,0.0127,0.0108,0.0118,0.015,0.0133,0.0125,0.0136,0.0145,0.0142,0.0151,0.0141
Tajikistan,,,,,,,,,,,,,,,,,,,,0.00209,,,,,,,,
Tanzania,,,,,,,,,,,,0.00931,,,,,0.0157,,,,,,,,0.00883,,,
Thailand,,,,,,,,,,,,,,,,,,,,0.00108,0.000553,0.000749,0.00052,0.000458,0.00041,0.000536,0.000708,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,0.0424,0.0378,,,,
Turkey,0.0142,0.0118,0.0125,0.0123,0.0126,0.0111,0.00918,0.0107,0.00926,0.00884,0.00514,0.00678,0.00937,0.0093,0.0112,0.0116,0.00817,0.00784,0.00806,0.0115,0.0115,0.01,0.00904,0.0105,0.0108,0.0124,0.0136,0.0155
Uganda,,,,,,,,,,,,,,,,,,,,,,,0.00766,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,0.0104,0.013,0.0112,0.0117,0.0103,0.00904,0.0122,0.0127,0.0112
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0229
United Kingdom,,,0.0154,0.0182,0.0165,0.0146,0.0127,0.0111,0.00856,0.0083,0.00748,0.00637,0.00592,0.00559,0.00612,0.00577,0.00742,0.00745,0.00795,0.0117,0.0142,0.0155,0.0165,0.0159,0.0126,0.0101,0.00834,0.00734
United States,0.00178,0.00286,0.00532,0.00499,0.00592,0.00483,0.00477,0.00412,0.00327,0.00291,0.00254,0.0031,0.00559,0.00648,0.00605,0.00519,0.00429,0.00428,0.00578,0.0133,0.0182,0.0181,0.0161,0.0132,0.0101,0.00713,0.00613,0.00547
Uruguay,,,,,,,,,,,,,,,,,0.00785,0.00488,0.00307,0.00306,0.00202,0.00162,0.00134,0.000967,0.00126,0.00161,0.00159,0.00173
Vanuatu,,,,,,,,,,,,,,,,,,,,,0.00808,,,,,,,
Venezuela,,,,,,,,,,,,,,,,0.0158,0.0133,0.00932,0.00767,0.00756,0.00897,0.00941,0.00917,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,0.002,0.00188,0.00146,0.00249,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,0.00113,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,0.0342,,,
